NCR_NO,SERIAL_NO,DEFECT_CATEGORY,SEVERITY,DISPOSITION,OPENED_DT,CLOSED_DT,CAPA_NO,ORIGINATOR
NCR-2026-0241,s5-51-0026,SURFACE FINISH,MINOR,REWORK,2026-05-22,2026-06-04,,QE-102
NCR-2026-0242,s2-51-0037,SOLDER,MINOR,REWORK,2026-05-22,2026-06-02,,QE-109
NCR-2026-0243,s5-51-0024,MISSING COMPONENT,MINOR,USE AS IS,2026-05-22,2026-06-09,,QE-101
NCR-2026-0244,s4-51-0120,SOLDER,MINOR,USE AS IS,2026-05-22,2026-06-06,,QE-108
NCR-2026-0245,s5-52-0153,SURFACE FINISH,MINOR,USE AS IS,2026-05-23,2026-05-28,,QE-106
NCR-2026-0246,s9-52-0126,MISSING COMPONENT,MINOR,REWORK,2026-05-23,2026-06-08,,QE-109
NCR-2026-0247,s3-52-0042,DIMENSIONAL,MAJOR,REWORK,2026-05-23,2026-05-31,CAPA-2246,QE-101
NCR-2026-0248,s5-52-0155,LABELING,MINOR,USE AS IS,2026-05-23,2026-05-31,,QE-101
NCR-2026-0249,s5-52-0095,MISSING COMPONENT,MAJOR,SCRAP,2026-05-23,2026-05-31,CAPA-2248,QE-111
NCR-2026-0250,s8-52-0175,SOLDER,MINOR,REWORK,2026-05-23,2026-06-08,,QE-101
NCR-2026-0251,s3-53-0056,DIMENSIONAL,MAJOR,SCRAP,2026-05-24,2026-06-09,CAPA-2250,QE-109
NCR-2026-0252,s4-53-0156,SOLDER,MINOR,REWORK,2026-05-24,2026-06-04,,QE-108
NCR-2026-0253,s1-53-0119,SOLDER,MINOR,USE AS IS,2026-05-24,2026-05-27,,QE-105
NCR-2026-0254,s5-53-0166,SURFACE FINISH,MINOR,REWORK,2026-05-24,2026-06-07,,QE-103
NCR-2026-0255,s3-53-0123,DIMENSIONAL,MAJOR,REWORK,2026-05-24,2026-05-31,CAPA-2254,QE-101
NCR-2026-0256,s6-53-0071,SOLDER,MINOR,REWORK,2026-05-24,2026-05-31,,QE-110
NCR-2026-0257,s3-53-0100,DIMENSIONAL,MAJOR,REWORK,2026-05-24,2026-05-29,CAPA-2256,QE-106
NCR-2026-0258,s5-53-0080,SURFACE FINISH,MINOR,REWORK,2026-05-24,2026-06-11,,QE-106
NCR-2026-0259,s4-54-0007,SURFACE FINISH,MINOR,REWORK,2026-05-25,2026-05-29,,QE-103
NCR-2026-0260,s6-54-0063,MISSING COMPONENT,MINOR,REWORK,2026-05-25,2026-05-28,,QE-105
NCR-2026-0261,s5-54-0184,MISSING COMPONENT,MAJOR,SCRAP,2026-05-25,2026-06-14,CAPA-2260,QE-110
NCR-2026-0262,s9-54-0100,MISSING COMPONENT,MINOR,USE AS IS,2026-05-25,2026-06-14,,QE-100
NCR-2026-0263,s4-54-0063,SURFACE FINISH,MAJOR,SCRAP,2026-05-25,2026-05-28,CAPA-2262,QE-106
NCR-2026-0264,s3-54-0105,DIMENSIONAL,MAJOR,SCRAP,2026-05-25,2026-06-05,CAPA-2263,QE-106
NCR-2026-0265,s3-54-0043,DIMENSIONAL,MAJOR,REWORK,2026-05-25,2026-05-29,CAPA-2264,QE-101
NCR-2026-0266,s3-55-0036,DIMENSIONAL,MAJOR,REWORK,2026-05-26,2026-06-15,CAPA-2265,QE-111
NCR-2026-0267,s8-55-0131,MISSING COMPONENT,MINOR,USE AS IS,2026-05-26,2026-05-27,,QE-106
NCR-2026-0268,s3-55-0033,DIMENSIONAL,MAJOR,SCRAP,2026-05-26,2026-06-05,CAPA-2267,QE-108
NCR-2026-0269,s3-55-0032,DIMENSIONAL,MAJOR,SCRAP,2026-05-26,2026-06-08,CAPA-2268,QE-108
NCR-2026-0270,s3-55-0097,DIMENSIONAL,MAJOR,SCRAP,2026-05-26,2026-06-06,CAPA-2269,QE-105
NCR-2026-0271,s3-55-0014,DIMENSIONAL,MAJOR,REWORK,2026-05-26,2026-05-31,CAPA-2270,QE-103
NCR-2026-0272,s3-56-0073,DIMENSIONAL,MAJOR,SCRAP,2026-05-27,2026-06-08,CAPA-2271,QE-107
NCR-2026-0273,s3-56-0028,SURFACE FINISH,MAJOR,REWORK,2026-05-27,2026-06-04,CAPA-2272,QE-101
NCR-2026-0274,s3-56-0143,DIMENSIONAL,MAJOR,SCRAP,2026-05-27,2026-06-11,CAPA-2273,QE-100
NCR-2026-0275,s3-56-0135,DIMENSIONAL,MAJOR,SCRAP,2026-05-27,2026-06-15,CAPA-2274,QE-103
NCR-2026-0276,s2-57-0079,SOLDER,MAJOR,SCRAP,2026-05-28,2026-06-02,CAPA-2275,QE-106
NCR-2026-0277,s5-57-0075,SOLDER,MINOR,REWORK,2026-05-28,2026-06-04,,QE-111
NCR-2026-0278,s9-57-0114,SOLDER,MINOR,REWORK,2026-05-28,2026-06-09,,QE-103
NCR-2026-0279,s8-57-0105,LABELING,MINOR,USE AS IS,2026-05-28,2026-06-03,,QE-106
NCR-2026-0280,s3-57-0018,DIMENSIONAL,MAJOR,REWORK,2026-05-28,2026-06-07,CAPA-2279,QE-104
NCR-2026-0281,s3-57-0095,DIMENSIONAL,MAJOR,REWORK,2026-05-28,2026-05-29,CAPA-2280,QE-111
NCR-2026-0282,s9-57-0069,MISSING COMPONENT,MINOR,REWORK,2026-05-28,2026-06-11,,QE-103
NCR-2026-0283,s6-57-0016,SOLDER,MINOR,REWORK,2026-05-28,2026-06-02,,QE-111
NCR-2026-0284,s1-57-0075,MISSING COMPONENT,MAJOR,REWORK,2026-05-28,2026-06-09,CAPA-2283,QE-103
NCR-2026-0285,s4-58-0134,SURFACE FINISH,MINOR,USE AS IS,2026-05-29,2026-06-05,,QE-111
NCR-2026-0286,s3-58-0012,OTHER,MAJOR,SCRAP,2026-05-29,2026-06-04,CAPA-2285,QE-106
NCR-2026-0287,s5-58-0031,SOLDER,MINOR,REWORK,2026-05-29,2026-06-01,,QE-108
NCR-2026-0288,s3-58-0053,DIMENSIONAL,MAJOR,REWORK,2026-05-29,2026-06-01,CAPA-2287,QE-110
NCR-2026-0289,s4-58-9999,MISSING COMPONENT,MINOR,USE AS IS,2026-05-29,2026-06-01,,QE-100
NCR-2026-0290,s3-58-0063,SOLDER,MINOR,REWORK,2026-05-29,2026-06-12,,QE-103
NCR-2026-0291,s1-58-0006,SURFACE FINISH,MINOR,USE AS IS,2026-05-29,2026-05-30,,QE-101
NCR-2026-0292,s7-59-0052,LABELING,MINOR,REWORK,2026-05-30,2026-06-07,,QE-104
NCR-2026-0293,s7-59-0020,SOLDER,MINOR,USE AS IS,2026-05-30,2026-05-31,,QE-104
NCR-2026-0294,s2-59-0167,LABELING,MINOR,REWORK,2026-05-30,2026-06-04,,QE-108
NCR-2026-0295,s8-59-0092,SOLDER,MINOR,USE AS IS,2026-05-30,2026-06-17,,QE-109
NCR-2026-0296,s9-59-0132,SURFACE FINISH,MINOR,REWORK,2026-05-30,2026-06-18,,QE-102
NCR-2026-0297,s3-59-0143,DIMENSIONAL,MAJOR,REWORK,2026-05-30,2026-06-13,CAPA-2296,QE-111
